label,beta,pval,r2,n
1M forward,0.0014524361177958576,0.9362813188193291,7.56305921822964e-05,87
3M forward,-0.06457771353864854,0.08567741839074046,0.03516867062808471,85
6M forward,-0.1124510822442291,0.04409732937434627,0.049699129609387604,82
Low VIX — 1M,0.010330314363573952,0.6013158456400312,0.005186548017758086,55
Low VIX — 3M,-0.01908947933687676,0.5524766590431962,0.006828624736361588,54
Low VIX — 6M,-0.06589795272271226,0.3202795774852919,0.02015968447671146,51
High VIX — 1M,-0.01667390603811042,0.6653931440732681,0.006319263086506877,32
High VIX — 3M,-0.1887378019520764,0.031299579671931387,0.15008508056245318,31
High VIX — 6M,-0.21644925253803077,0.04602730566225338,0.13031139062758512,31
