month,ps_raw,ps_own_z,V,phi,H,entropy_gap
2026-03,175.5214,0.0,663.0,0.2836,0.0664,0.9336
2026-04,216.4784,0.0,757.0,0.3012,0.0505,0.9495
2026-05,495.5772,1.1467,1031.0,0.4908,0.0206,0.9794
2026-06,653.1844,1.1736,1176.0,0.5646,0.0163,0.9837
