month,ps_raw,ps_own_z,V,phi,H,entropy_gap
2026-03,0.1953,0.0,48.0,0.4375,0.9907,0.0093
2026-04,0.0591,0.0,41.0,0.4634,0.9969,0.0031
2026-05,0.0,-0.8467,41.0,0.4878,1.0,0.0
