month,ps_raw,ps_own_z,V,phi,H,entropy_gap
2026-03,60.3669,0.0,883.0,0.5527,0.7579,0.2421
2026-04,62.9397,0.0,852.0,0.6408,0.7744,0.2256
2026-05,49.3079,-6.786,626.0,0.6214,0.7519,0.2481
2026-06,50.8049,-0.9297,609.0,0.6519,0.7496,0.2504
