month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2025-10,1.7331,True,3454,0.22,0.4265,0.5735,-0.2094822033814242,-0.2610401322223138,-0.514682821736916,0.05598299771009807,17.440000534057617,Q4 (highest)
2025-11,1.9948,True,3495,0.2309,0.4198,0.5802,0.0696158194681642,-0.2617325876076909,,-0.2094822033814242,16.350000381469727,Q4 (highest)
2025-12,1.6425,True,3292,0.2296,0.4382,0.5618,-0.12606046962441209,-0.3373541879549421,,0.0696158194681642,14.949999809265137,Q4 (highest)
2026-01,2.026,True,3229,0.2533,0.4229,0.5771,-0.21022297203392393,-0.3432428479200035,,-0.12606046962441209,17.440000534057617,Q4 (highest)
2026-02,3.0069,True,3697,0.2672,0.3997,0.6003,-0.03994618837234554,,,-0.21022297203392393,19.860000610351562,Q4 (highest)
2026-03,4.2808,True,4304,0.2744,0.3646,0.6354,-0.13382680969758742,,,-0.03994618837234554,25.25,Q4 (highest)
