month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,ps_activity,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2016-01,-0.3978,False,0,0.0,1.0,0.0,0.03583071718030828,0.2729318841304782,0.5621030430758456,-0.14003106351671712,20.200000762939453,Very low,-0.0008266909632361763,0.07058744262856975,0.1324320528709455,0.01608195054198469,0.32212459655195125,0.36405198168039377,
2016-02,-0.3978,False,0,0.0,1.0,0.0,0.15811711672414042,0.34314017743092085,0.6944580496182913,0.03583071718030828,20.549999237060547,Very low,0.06179020024693482,0.0897003710736064,0.13472603918983483,0.20671440843833433,0.13333318072821876,0.3593519638579892,
2016-03,-0.3978,False,0,0.0,1.0,0.0,0.06111853006127976,0.1951921553708671,0.5734437945613524,0.15811711672414042,13.949999809265137,Very low,0.00911952248908321,0.02452529644157675,0.06338173537608771,0.0782988692220743,0.04491267421954581,0.12129146304031857,
2016-04,-0.3978,False,0,0.0,1.0,0.0,0.09296174493445974,0.22716938946257592,0.347934308997091,0.06111853006127976,15.699999809265137,Very low,0.01701129890980191,0.05776698640377398,0.04073349078201027,-0.1290084218299079,0.031712128522370264,0.15223930468006674,0.017972256795910524
2016-05,-0.3978,False,0,0.0,1.0,0.0,0.030549540671907183,0.2615645619799345,0.1584856944659363,0.09296174493445974,14.1899995803833,Very low,-0.0017155646235237354,0.04131931062101746,0.061023054761209616,0.1125688376390459,0.1994283649090225,0.19687367676308187,0.028758825112252834
2016-06,-0.3978,False,0,0.0,1.0,0.0,0.08950863911808726,0.31647767891608547,0.11217713714199218,0.030549540671907183,15.630000114440918,Very low,0.041861357578848235,0.03792628553874522,0.07803835068379139,0.06467655048715182,0.07309585834799126,0.055491723231475776,0.04159940907669422
2016-07,-0.3978,False,0,0.0,1.0,0.0,0.12359533805916878,0.09840933172836275,0.21318383767899407,0.08950863911808726,11.869999885559082,Very low,0.0011973509166440799,-0.01610325888471409,0.05944719748291316,0.012580908543066371,0.11682248645299631,0.10005432222518262,0.03975776434256304
2016-08,-0.3978,False,0,0.0,1.0,0.0,0.07540708434497767,-0.08170716792505928,0.22813229115512867,0.12359533805916878,13.420000076293945,Very low,-0.0049683652716305815,0.018921904106859788,0.09975772571881714,-0.0046149926693982435,-0.002129921403129842,0.1179594038392906,0.07801438144836377
2016-09,-0.3978,False,0,0.0,1.0,0.0,-0.09096335215398843,-0.1551872432370467,0.14526568831066844,0.07540708434497767,13.289999961853027,Very low,-0.012373028125309493,0.038646352543451945,0.1018371246023333,0.10806010770909591,-0.01640499772650028,0.14296722383963645,0.09264181826150719
2016-10,-0.3978,False,0,0.0,1.0,0.0,-0.06065114772011371,0.10449156123795111,0.3647369762893138,-0.09096335215398843,17.059999465942383,Very low,0.036838388169026404,0.07678697693620573,0.1316167037828757,-0.09526876200116197,-0.015014171393583742,0.02076832652655969,0.07885681286498007
