simulation,actual_value,sim_mean,sim_std,p_value,significant,n_simulations
Sim1_regime_perm_excess,0.003331590021868759,-0.00021263272520853933,0.020028080241836648,0.4464,False,10000
Sim1_regime_perm_pos_beta,0.04666619212194514,-0.004320485273495086,0.022501226515006988,0.0119,True,10000
Sim1_regime_perm_neg_beta,-0.1165692302437751,-0.005214742799922497,0.03846020159673315,0.0016,True,10000
Sim2_weight_randomisation,0.003331590021868759,8.706658136339956e-05,0.018027943967700313,0.411,False,10000
Sim3_random_universe,0.003331590021868759,-7.251453768464855e-05,0.02005214230038403,0.4465,False,10000
