month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2021-08,1.8544,True,1040,0.0308,0.3179,0.6821,0.0668932514518672,0.3954569282059781,-0.23466283254679798,0.4266394949375685,16.479999542236328,Q4 (highest),-0.04965007094072771,0.012090215603267396,-0.026557551422651482,-0.05787608963112467,0.037653977747806655,-0.0850692282929012,
2022-03,2.3059,True,916,0.0306,0.0957,0.9043,-0.23804878607028868,-0.4331707372898008,-0.4202438912740568,-0.041832224286721176,20.559999465942383,Q4 (highest),-0.08493512145673587,-0.16211599059541904,-0.20326525823344932,-0.13488919650231146,-0.2259430192953713,-0.2604821098496848,-0.026085260762077955
2022-04,2.1353,True,1494,0.0161,0.0,1.0,-0.32362358144760317,-0.1853392781882044,-0.13956468125145272,-0.23804878607028868,33.400001525878906,Q4 (highest),0.0022572054096843264,0.004295312541462426,-0.054680558389847644,-0.01586587927752192,0.008991011286697104,-0.10938582487725268,-0.04420617338517602
2022-05,1.8766,True,1451,0.0152,0.0,1.0,0.09985805462166475,0.29484153795673573,0.08991962145491983,-0.32362358144760317,26.190000534057617,Q4 (highest),-0.08640686352036586,-0.038851367842282714,-0.004376001890045389,-0.0908262111501591,-0.027360574279571837,-0.04485493162622933,-0.10707179310894716
2022-08,2.2638,True,2766,0.0141,0.3591,0.6409,-0.13121345294230824,-0.15826022759911107,-0.10855267377367805,0.07504910766814077,25.8700008392334,Q4 (highest),-0.09615881070737153,0.03586892266063191,0.011475503749042604,-0.10696024988322606,-0.017986477705959292,-0.014964289348910143,-0.12569506753397716
2022-09,2.4191,True,2948,0.0149,0.4047,0.5953,0.13083713265083907,-0.06436687661677287,0.012620918438500217,-0.13121345294230824,31.6200008392334,Q4 (highest),0.08571720884620371,0.07509085372700541,0.1561661008321511,0.04186789110708644,-0.0018762831290554116,0.20585372752460485,-0.05558378692152457
2022-10,2.5818,True,2047,0.0171,0.2156,0.7844,-0.14322911437216335,-0.14062495897745675,-0.18154759349432315,0.13083713265083907,25.8799991607666,Q4 (highest),0.0555916678121382,0.05731749325551849,0.08602745488360086,0.05544115317598597,0.06251197560320021,0.16507508002058802,-0.07048065836412241
