month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2021-06,-0.1167,False,686,0.019,0.4932,0.5068,-0.17494739733244247,0.2557895058079769,0.6050525866056744,,15.829999923706055,Q3,0.027763921405247194,0.005802908873904222,0.11676035525203243,0.02980248147870146,0.011131234374082144,0.12505481104806182,
2021-07,1.3818,False,836,0.0311,0.301,0.699,0.4266394949375685,0.7338606616314738,0.6685379352139984,-0.17494739733244247,18.239999771118164,Q4 (highest),0.029759891958028195,0.05065180416174608,0.032900247965059304,0.04218679511043355,0.06025755727774307,-0.0017918518944847195,
2021-08,1.8544,True,1040,0.0308,0.3179,0.6821,0.0668932514518672,0.3954569282059781,-0.23466283254679798,0.4266394949375685,16.479999542236328,Q4 (highest),-0.04965007094072771,0.012090215603267396,-0.026557551422651482,-0.05787608963112467,0.037653977747806655,-0.0850692282929012,
2021-09,0.9711,False,1131,0.0203,0.3478,0.6522,0.13914493227233815,0.2781223120454259,-0.3126571843889674,0.0668932514518672,23.139999389648438,Q4 (highest),0.07359206137685681,0.11031728522475248,0.05951136601573692,0.07983595637519247,0.1126694268766224,0.015212540056842805,
2021-10,0.2341,False,1048,0.0172,0.4833,0.5167,0.14819720599096686,-0.03767472661615734,-0.5402501666789801,0.13914493227233815,16.260000228881836,Q3,-0.00803491038316273,-0.01689575568839352,-0.09693665374629423,0.019968465284224024,-0.05852295863991974,-0.18666226007356046,0.10619511635233107
2021-11,0.2617,False,943,0.018,0.4403,0.5597,-0.022814648242554858,-0.4515508490562071,-0.7291720062814895,0.14819720599096686,27.190000534057617,Q3,0.0425848772954196,-0.03818608897713971,-0.08756693637901336,0.010233173945074947,-0.11826987480650764,-0.21523708940367514,0.11443257033233284
2021-12,0.2642,False,1356,0.0155,0.546,0.454,-0.14231373003851022,-0.4622245389715067,-0.6951731319215817,-0.022814648242554858,17.219999313354492,Q3,-0.049413238680520055,-0.045758018797961264,-0.20045590284826498,-0.08630475790445291,-0.08758835685217947,-0.2937413983452488,0.12118549746405964
2022-01,0.862,False,1421,0.0183,0.4555,0.5445,-0.34561857600657486,-0.5222511077731619,-0.6107967426136982,-0.14231373003851022,24.829999923706055,Q4 (highest),-0.02951713619079488,-0.08141649120226035,-0.07747088793654078,-0.04475958193386276,-0.13610454191057875,-0.12833724809637037,0.0971854731796239
2022-02,1.4836,False,1394,0.0194,0.2977,0.7023,-0.041832224286721176,-0.5061930659342638,-0.3605982700406217,-0.34561857600657486,30.149999618530273,Q4 (highest),0.03437707385999711,-0.051341373664848144,-0.08819805891334975,0.04538620589762621,-0.10997380244424382,-0.13432543033323296,0.1026244177286126
2022-03,2.3059,True,916,0.0306,0.0957,0.9043,-0.23804878607028868,-0.4331707372898008,-0.4202438912740568,-0.041832224286721176,20.559999465942383,Q4 (highest),-0.08493512145673587,-0.16211599059541904,-0.20326525823344932,-0.13488919650231146,-0.2259430192953713,-0.2604821098496848,-0.026085260762077955
