label,beta_raw,pval_raw,r2_raw,beta_full,pval_full,r2_full,n_full,signal_retained,commercial_bar,subset
1M forward,-0.0086,0.7283,0.0022,-0.0192,0.4193,0.2334,54,222.8,fail,Full
3M forward,-0.0779,0.0425,0.074,-0.0934,0.0186,0.3705,52,119.9,PASS,Full
6M forward,-0.2238,0.0,0.3882,-0.209,0.0001,0.5217,49,93.4,PASS,Full
Low VIX 1M,-0.0135,0.7101,0.0038,-0.0357,0.1897,0.4946,36,264.5,fail,LowVIX
Low VIX 3M,-0.0683,0.1933,0.0465,-0.0928,0.0565,0.4561,35,135.8,fail,LowVIX
Low VIX 6M,-0.222,0.0002,0.3416,-0.2056,0.0004,0.681,32,92.6,PASS,LowVIX
High VIX 1M,-0.0026,0.9175,0.0007,-0.045,0.2275,0.2233,18,1711.2,fail,HighVIX
High VIX 3M,-0.0973,0.0807,0.1785,-0.105,0.1072,0.6591,17,107.9,fail,HighVIX
High VIX 6M,-0.2329,0.0009,0.5053,-0.2207,0.0018,0.8578,17,94.8,PASS,HighVIX
