month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2021-06,-1.0561,False,39,0.1026,0.0,1.0,-0.010286699268432509,0.4589204237656308,0.3807415639211491,,15.829999923706055,Q1,0.027763842954010354,0.005802832098994681,0.1167602700075232,0.029802664221115993,0.011131413803212142,0.12505483323951938,
2021-07,0.4103,False,131,0.0992,0.0,1.0,0.714311522713283,0.6802837808010653,-0.054091853789505095,-0.010286699268432509,18.239999771118164,Q3,0.029759891958028195,0.050651581351916386,0.032900173695116,0.04218662279212859,0.06025747111859059,-0.00179167957617965,
2021-08,2.5285,True,253,0.1028,0.0,1.0,-0.14013068113988503,-0.051560518541424516,-0.5812157284591872,0.714311522713283,16.479999542236328,Q4,-0.04965007094072771,0.012090215603267396,-0.026557551422651482,-0.05787593385749279,0.03765431465971081,-0.08506891167242503,
2021-09,3.0173,True,282,0.1028,0.0,1.0,0.13988342323014424,-0.053586788265458374,-0.5154199834183466,-0.14013068113988503,23.139999389648438,Q4,0.0735918337021284,0.11031728522475248,0.059511441907313056,0.07983586862505088,0.11266925137633899,0.015212627806984402,
2021-10,1.8767,True,311,0.0707,0.0,1.0,-0.0323534927620982,-0.4370545279205523,-0.6519915053399403,0.13988342323014424,16.260000228881836,Q4,-0.008034700018874075,-0.016895617892621395,-0.096936391545829,0.019968710694353797,-0.05852271960819777,-0.18666203145475602,0.18796471410165516
2021-11,-0.0785,False,245,0.0408,0.0,1.0,-0.1419677273631743,-0.5584491370005207,-0.6844357844145925,-0.0323534927620982,27.190000534057617,Q3,0.0425848772954196,-0.03818608897713971,-0.08756686511703216,0.010232853628317828,-0.11826985596102091,-0.21523697543559017,0.17594439138377743
2021-12,-0.8932,False,237,0.0211,0.0,1.0,-0.3219745837763961,-0.48798261628920214,-0.6658460635714997,-0.1419677273631743,17.219999313354492,Q1,-0.049413307031771714,-0.045757950446709605,-0.20045583449701343,-0.08630445605908721,-0.08758813407380817,-0.2937415235413393,0.1342848145546023
2022-01,-0.0785,False,206,0.0485,0.0,1.0,-0.24101858609668647,-0.381807809245607,-0.5092203336405696,-0.3219745837763961,24.829999923706055,Q3,-0.029517066408923376,-0.08141635324789476,-0.07747082160274932,-0.04475957420712362,-0.13610451841517857,-0.12833748488321695,0.08824272423497287
2022-02,0.7362,False,263,0.057,0.0,1.0,-0.005035486986568194,-0.28532759863323043,-0.2843205108404926,-0.24101858609668647,30.149999618530273,Q4,0.03437714795123292,-0.05134129957361233,-0.08819805891334975,0.04538610733740156,-0.10997369221198217,-0.13432558677481332,0.03629474348364561
2022-03,1.5509,True,272,0.0735,0.0,1.0,-0.18137541658316658,-0.3473777511092474,-0.2829759531457604,-0.005035486986568194,20.559999465942383,Q4,-0.08493511537293164,-0.1621159789832386,-0.2032652436737945,-0.13488909840789753,-0.22594334550687178,-0.26048234664055636,-0.12292694131801597
2022-04,0.5733,False,219,0.0639,0.0,1.0,-0.12256563932796238,-0.20610503707508576,-0.1735702667269471,-0.18137541658316658,33.400001525878906,Q4,0.002257205232996329,0.004295233927901876,-0.054680554109599266,-0.015865776194811443,0.008990709753120552,-0.10938630258085502,-0.1004110756257965
2022-05,-0.4043,False,124,0.0645,0.0,1.0,-0.09142150052597398,0.0014091600442549534,-0.05319711878478006,-0.12256563932796238,26.190000534057617,Q2,-0.08640685677189952,-0.038851442908995226,-0.00437600154827511,-0.0908267926256493,-0.027360870515561464,-0.044855222533977,-0.15395421559468164
2022-06,-1.0561,False,122,0.0328,0.0,1.0,-0.004168285090258461,0.09868158505620883,0.18262888395777122,-0.09142150052597398,28.709999084472656,Q1,0.09680490296325428,-0.049110931415808357,0.02229204863673062,0.1276808455114531,-0.04462076636535284,-0.04641299372653429,-0.168989573355659
2022-07,-1.0561,False,143,0.028,0.0,1.0,0.10678470975216015,0.040981202637023983,0.2673026203363722,-0.004168285090258461,21.329999923706055,Q1,-0.04080191352086626,-0.05872355662471951,-0.004772032840003715,-0.05132183529030587,-0.1173222024640248,-0.062144052904702596,-0.1605652022161256
2022-08,-0.8932,False,153,0.0327,0.0,1.0,-0.003166232365999444,-0.054529438123595675,0.3607740138386619,0.10678470975216015,25.8700008392334,Q1,-0.09615872944933457,0.035869003918668874,0.01147542249100586,-0.10696045864114256,-0.017986477705959292,-0.014964393727868397,-0.10759748576843602
2022-09,-0.5673,False,159,0.044,0.0,1.0,-0.05646721460449522,0.07640730494019121,0.2594847768869861,-0.003166232365999444,31.6200008392334,Q2,0.08571720113997006,0.07509075707311808,0.1561660867923511,0.04186778401361524,-0.0018759329259889768,0.2058540094063135,-0.049630269793628244
2022-10,-1.048,False,139,0.0432,0.325,0.675,0.005236558311288331,0.2174116277277902,0.14007850556901547,-0.05646721460449522,25.8799991607666,Q1,0.055591663208860886,0.057317405704166546,0.08602744776008286,0.055441508385785765,0.0625122210090181,0.16507547212779783,-0.049318727356866786
2022-11,-1.048,False,197,0.0305,0.325,0.675,0.1348837209302325,0.4392558253088663,0.6762790413789972,0.005236558311288331,20.579999923706055,Q1,-0.061936024580056204,-0.023548905639016793,0.033582326056001754,-0.09230958755360774,0.003077436215981111,0.19090244677065304,-0.02850069369375489
2022-12,-1.4435,False,202,0.0297,0.7296,0.2704,0.06713116755251014,0.17008196721311486,0.403442632956583,0.1348837209302325,21.670000076293945,Q1,0.06776817388229905,0.07541254464874814,0.16888093683890282,0.10907780876900386,0.20812036217227003,0.3928106080628426,-0.007200327420546437
2023-01,-1.0595,False,216,0.0324,0.4316,0.5684,0.18841691619398304,-0.06352257560009622,0.38858587748056417,0.06713116755251014,19.399999618530273,Q1,-0.025142658980289112,0.027153664454048876,0.13472781215557972,-0.003597755043086459,0.0965290084111976,0.3060933036460911,0.030517209488821306
2023-02,-0.7965,False,206,0.0485,0.4406,0.5594,-0.07736557087812002,0.16468456260669662,0.14684592193283263,0.18841691619398304,20.700000762939453,Q2,0.03313496464446386,0.05850905593219369,0.14507655512501638,0.09323490912312238,0.18724876442563088,0.29136974045759145,0.04240045159594941
