label,beta_org,beta_sel,pval,r2,n
1M forward,0.002221454779347253,0.0285,0.8982368520967836,0.0002575270711622224,66
3M forward,0.04219800059943334,0.0613,0.19721691484968593,0.026674840135167077,64
6M forward,0.08715244869893596,0.1415,0.03788786524329162,0.07102132963205432,61
Low VIX - 1M,-0.015914325104977332,0.0089,0.3468504038796347,0.022152341251373553,42
Low VIX - 3M,-0.012351274941016684,0.033,0.7395726277910378,0.002865832860110662,41
Low VIX - 6M,0.02843401264784328,0.1123,0.5978916784590418,0.007804801157770158,38
High VIX - 1M,0.06047394179099809,0.0625,0.16946429107290442,0.08401955982295539,24
High VIX - 3M,0.2920889382776579,0.1424,0.0003409584589551222,0.4646949291898522,23
High VIX - 6M,0.31376722651698125,0.21,0.00022496695742795208,0.4846068588614285,23
