label,beta_raw,pval_raw,r2_raw,beta_full,pval_full,r2_full,n_full,signal_retained,commercial_bar,subset
1M forward,0.0041,0.7675,0.0009,-0.0044,0.7441,0.1653,96,-107.0,fail,Full
3M forward,0.0101,0.6989,0.0016,-0.0241,0.3433,0.2161,94,-239.2,fail,Full
6M forward,0.0343,0.3464,0.0096,-0.0127,0.7357,0.1564,91,-37.2,fail,Full
Low VIX 1M,-0.0038,0.8113,0.0009,-0.0041,0.784,0.2058,62,109.0,fail,LowVIX
Low VIX 3M,-0.03,0.3333,0.0151,-0.0408,0.1817,0.2229,61,136.2,fail,LowVIX
Low VIX 6M,-0.0313,0.4993,0.0078,-0.1025,0.0554,0.157,58,327.6,fail,LowVIX
High VIX 1M,0.0268,0.3444,0.028,0.0117,0.7111,0.1605,34,43.7,fail,HighVIX
High VIX 3M,0.1129,0.0195,0.1638,0.0686,0.1967,0.3622,33,60.7,fail,HighVIX
High VIX 6M,0.1941,0.0003,0.3478,0.1154,0.0468,0.4846,33,59.5,fail,HighVIX
