month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2018-12,1.9319,True,378,0.1481,0.1507,0.8493,0.10586646227869889,0.2630927753374901,0.4704426995022717,0.03537352605499411,25.420000076293945,Q4,0.08637306212132989,0.1368821324017524,0.18441596856873166,0.09322614196808887,0.1679890887979807,0.21622603341233892,0.06185867487462482
2019-01,1.7751,True,374,0.1364,0.1193,0.8807,0.09227643994158541,0.11941056725400334,0.42398366813374855,0.10586646227869889,16.56999969482422,Q4,0.032415656467040366,0.0940430754910846,0.11211429013703889,0.02991221098526542,0.1291922301842472,0.14100296452631178,0.07107244314181517
2019-05,1.7503,True,434,0.1106,0.073,0.927,0.03940259924289102,0.06855733588907142,0.009771237557762102,0.1428052247810765,18.709999084472656,Q4,0.0644096611261149,0.06757879089041641,0.15267640460376053,0.07352665552870707,0.08010619230366878,0.18406433902976627,0.06523314324245588
2019-07,1.6026,True,275,0.1527,0.0,1.0,-0.04003711679878175,-0.1379531464120718,0.04910080732630995,0.07092631488105172,16.1200008392334,Q4,-0.016743165073110466,0.024546138547693275,0.09203793160278506,-0.018995187866881702,0.0333723486800539,0.15116544342960547,0.06768383762484487
2019-08,1.8394,True,286,0.1608,0.0,1.0,-0.06742987462518069,-0.055014453934189245,0.07768948504789486,-0.04003711679878175,18.979999542236328,Q4,0.014771246606939625,0.07971085079572293,0.022709512073686433,0.007147718642223522,0.09624807955630166,0.10237416243635455,0.061860479725237005
2019-09,2.6682,True,514,0.1167,0.0,1.0,-0.037069526748861104,-0.04065693562065953,0.09422825123868184,-0.06742987462518069,16.239999771118164,Q4,0.02682490522646863,0.08955202686591468,-0.12318139388630489,0.045905689121328974,0.12832360421191336,0.012645121043710184,0.039808220268509144
2019-10,2.9035,True,692,0.1055,0.1236,0.8764,0.052322209180576174,0.21698815204747146,0.28727547242841434,-0.037069526748861104,13.220000267028809,Q4,0.03619840419729603,0.06587482058227478,-0.03199570924183548,0.04069423060340438,0.11398901364064074,0.11554758975036927,0.020956094595399617
2019-11,2.4356,True,618,0.1084,0.1631,0.8369,-0.05326098843484395,0.1404295965526252,0.45779248022965846,0.052322209180576174,12.619999885559082,Q4,0.024020521541490147,-0.05279315168503462,-0.02130222445532093,0.03661622315648172,0.00558822678397064,0.14268298324909057,0.01809960345536595
2019-12,1.7048,True,407,0.1278,0.1591,0.8409,0.22153901008317645,0.14060161778165048,0.49800573174606755,-0.05326098843484395,13.779999732971191,Q4,0.004510830727281867,-0.195248520040062,-0.03157185310022648,0.03261816258749328,-0.10252243481957435,0.1695854582993197,0.0030191008552825638
2020-02,1.7503,True,350,0.1371,0.073,0.927,-0.05311818329472151,0.2782836263074733,0.3228475829567672,-0.013877505347842267,40.11000061035156,Q4,-0.1299872549635137,0.03324609327491079,0.1912179293029772,-0.07483025436725621,0.1363328973167981,0.4383978800394954,0.012677285442680855
2020-03,1.5754,True,354,0.1271,0.0769,0.9231,0.1328137237060738,0.31334701651531094,0.3244208113171616,-0.05311818329472151,53.540000915527344,Q4,0.13361065468503686,0.2033878421049733,0.31267357281693653,0.15218801370705992,0.30319186091764916,0.4648969475780136,0.0170372206845041
2025-09,1.8669,True,304,0.1645,0.0707,0.9293,0.06086412903222116,0.015278663043412744,-0.5726361846949852,-0.10169873976374544,16.280000686645508,Q4,0.026675961781003066,0.026465297161848644,-0.018178046713955287,0.04901851241312172,0.024405124329175854,-0.0362716685885911,-0.06978854454310872
2025-10,1.6618,True,292,0.1473,0.0,1.0,-0.11745953318120173,-0.302443621872036,-0.5951481697603798,0.06086412903222116,17.440000534057617,Q4,0.0019500340229998692,0.01752735721882015,0.05966052956725143,-0.015610296739697826,-0.010171823084146658,0.06417943636363277,-0.04449414457402523
