ticker,repo,tier,corp_commits,total_commits,corp_ratio,months_active,density_months,N1a,N1b,N2,N3,sample_phi,N4,all_pass,fail_reason,oss_exception,selected
META,facebook/ocamlrep,,2447,2519,0.9714,39,38,True,False,False,True,,,False,N1b(density=38),False,False
META,facebookresearch/AugLy,,151,258,0.5853,55,14,False,False,True,True,,,False,N1a(corp=151),False,False
META,facebook/Lifeguard,,70,71,0.9859,1,1,False,False,False,True,,,False,N1a(corp=70),False,False
META,meta-llama/PurpleLlama,,413,441,0.9365,28,26,True,False,False,True,,,False,N1b(density=26),False,False
META,pytorch/rl,,881,2395,0.3678,36,27,True,False,False,True,,,False,N1b(density=27),False,False
META,pytorch/pytorch_sphinx_theme,,112,243,0.4609,67,9,False,False,True,True,,,False,N1a(corp=112),False,False
META,facebookincubator/gazebo,,268,279,0.9606,66,31,True,False,True,True,,,False,N1b(density=31),False,False
META,pytorch/examples,,150,490,0.3061,61,15,False,False,True,True,,,False,N1a(corp=150),False,False
META,facebookresearch/repoprover,,3,5,0.6,1,0,False,False,False,True,,,False,N1a(corp=3),False,False
META,facebookresearch/param,,522,545,0.9578,66,59,True,True,True,True,0.345,True,True,,False,False
META,facebookresearch/wybecoder,,0,2,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
META,facebookresearch/HyperAgents,,5,7,0.7143,1,0,False,False,False,True,,,False,N1a(corp=5),False,False
META,facebook/dotslash,,347,387,0.8966,26,25,True,False,False,True,,,False,N1b(density=25),False,False
META,facebookincubator/fizz,,4710,5000,0.942,80,80,True,True,True,True,0.31,True,True,,False,False
META,facebookincubator/overture2osmjs,,0,16,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
META,facebook/rocksdb,,3603,5000,0.7206,74,74,True,True,True,True,0.26,True,True,,False,False
META,facebookresearch/spdl,,0,1027,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
META,facebook/pyre-check,,4940,5000,0.988,23,23,True,False,False,True,,,False,N1b(density=23),False,False
META,facebookincubator/reindeer,,4205,5000,0.841,55,55,True,True,True,True,0.185,True,True,,False,False
META,meta-llama/llama-models,,52,216,0.2407,12,5,False,False,False,True,,,False,N1a(corp=52),False,False
META,facebookincubator/superconsole,,217,224,0.9688,50,18,True,False,True,True,,,False,N1b(density=18),False,False
META,facebookincubator/dynolog,,392,408,0.9608,41,39,True,False,False,True,,,False,N1b(density=39),False,False
META,facebook/fresco,,2835,2922,0.9702,87,87,True,True,True,True,0.215,True,True,,False,False
META,facebook/chef-cookbooks,,1023,1325,0.7721,87,87,True,True,True,True,0.42,True,True,,False,False
META,facebookresearch/fairchem,,315,1331,0.2367,58,30,True,False,True,True,,,False,N1b(density=30),False,False
META,facebook/fb303,,4118,5000,0.8236,50,50,True,True,True,True,0.18,True,True,,False,False
META,facebook/mvfst,,4533,5000,0.9066,50,50,True,True,True,True,0.33,True,True,,False,False
META,facebookincubator/fboss.bsp.kmods,,21,24,0.875,2,1,False,False,False,True,,,False,N1a(corp=21),False,False
META,facebookresearch/stopes,,20,92,0.2174,13,1,False,False,False,True,,,False,N1a(corp=20),False,False
META,facebookincubator/observite,,0,10,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
META,meta-llama/llama,,14,148,0.0946,11,0,False,False,False,False,,,False,N1a(corp=14),False,False
META,facebookincubator/FBX2glTF,,36,87,0.4138,14,6,False,False,False,True,,,False,N1a(corp=36),False,False
META,pytorch/benchmark,,1714,2381,0.7199,70,67,True,True,True,True,0.315,True,True,,False,False
META,facebookresearch/projectaria_tools,,1059,1078,0.9824,34,34,True,False,False,True,,,False,N1b(density=34),False,False
META,facebookincubator/dataclassgenerate,,96,103,0.932,36,7,False,False,False,True,,,False,N1a(corp=96),False,False
META,facebookincubator/ForgeArmory,,63,109,0.578,20,6,False,False,False,True,,,False,N1a(corp=63),False,False
META,facebookincubator/buck2-change-detector,,498,501,0.994,26,26,True,False,False,True,,,False,N1b(density=26),False,False
META,facebookincubator/tacquito,,81,89,0.9101,39,6,False,False,False,True,,,False,N1a(corp=81),False,False
META,facebook/Ax,,4856,5000,0.9712,78,78,True,True,True,True,0.415,True,True,,False,False
META,facebookresearch/polymath,,50,57,0.8772,9,4,False,False,False,True,,,False,N1a(corp=50),False,False
META,facebookincubator/triton-shared,,1,9,0.1111,2,0,False,False,False,False,,,False,N1a(corp=1),False,False
META,facebookresearch/ocean,,1679,1694,0.9911,21,21,True,False,False,True,,,False,N1b(density=21),False,False
NOW,ServiceNow/ServiceNow-CPQ-CI-CD-Demo,,8,8,1.0,3,0,False,False,False,True,,,False,N1a(corp=8),False,False
NOW,ServiceNow/GroundCUA,,10,42,0.2381,4,2,False,False,False,True,,,False,N1a(corp=10),False,False
NOW,ServiceNow/SyGra,,64,103,0.6214,8,7,False,False,False,True,,,False,N1a(corp=64),False,False
NOW,ServiceNow/AgentArch,,29,29,1.0,7,5,False,False,False,True,,,False,N1a(corp=29),False,False
NOW,ServiceNow/sn-a2a,,8,8,1.0,3,0,False,False,False,True,,,False,N1a(corp=8),False,False
NOW,ServiceNow/webarena-verified,,0,22,0.0,0,0,False,False,False,False,,,False,N1a(corp=0),False,False
NOW,ServiceNow/app-devops-gitlab-docker,,24,32,0.75,22,0,False,False,False,True,,,False,N1a(corp=24),False,False
NOW,ServiceNow/instance-scan-content,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
NOW,ServiceNow/VA-Custom-Control,,0,0,0.0,0,0,False,False,False,False,,,False,no commits found,False,False
