quarter,date,gross_margin,ps_zscore_mean,ticker,regime,gm_lead1,gm_lead2,gm_lead4
2019Q1,2019-03-31,43.18257956448911,-0.07716666666666668,AMZN,positive,42.689735663365084,40.981123447792974,41.34416582728092
2019Q2,2019-06-30,42.689735663365084,0.6912333333333334,AMZN,positive,40.981123447792974,38.267552637899286,40.77289904624797
2019Q3,2019-09-30,40.981123447792974,2.2060999999999997,AMZN,positive,38.267552637899286,41.34416582728092,40.604295595194756
2019Q4,2019-12-31,38.267552637899286,2.303933333333333,AMZN,positive,41.34416582728092,40.77289904624797,36.853171916689895
2020Q1,2020-03-31,41.34416582728092,0.9050333333333334,AMZN,positive,40.77289904624797,40.604295595194756,42.49525424353563
2020Q2,2020-06-30,40.77289904624797,1.2568666666666666,AMZN,positive,40.604295595194756,36.853171916689895,43.247258577997876
2020Q3,2020-09-30,40.604295595194756,2.2053,AMZN,positive,36.853171916689895,42.49525424353563,43.210121647475006
2020Q4,2020-12-31,36.853171916689895,-0.010733333333333336,AMZN,positive,42.49525424353563,43.247258577997876,39.71778301749483
2021Q1,2021-03-31,42.49525424353563,-0.18730000000000002,AMZN,positive,43.247258577997876,43.210121647475006,42.891862182680086
2021Q2,2021-06-30,43.247258577997876,-0.33093333333333336,AMZN,positive,43.210121647475006,39.71778301749483,45.21008957883102
2021Q3,2021-09-30,43.210121647475006,-0.37976666666666664,AMZN,positive,39.71778301749483,42.891862182680086,44.71483308549893
2021Q4,2021-12-31,39.71778301749483,-0.7307666666666667,AMZN,positive,42.891862182680086,45.21008957883102,42.6020750113938
2022Q1,2022-03-31,42.891862182680086,-0.9531666666666667,AMZN,positive,45.21008957883102,44.71483308549893,46.77130608206787
2022Q2,2022-06-30,45.21008957883102,-0.5612333333333334,AMZN,positive,44.71483308549893,42.6020750113938,48.376654785203485
2022Q3,2022-09-30,44.71483308549893,-0.5866333333333333,AMZN,positive,42.6020750113938,46.77130608206787,47.56749578915734
2022Q4,2022-12-31,42.6020750113938,-0.6159666666666667,AMZN,positive,46.77130608206787,48.376654785203485,45.544566106342046
2023Q1,2023-03-31,46.77130608206787,-0.7921,AMZN,positive,48.376654785203485,47.56749578915734,49.318624269954576
2023Q2,2023-06-30,48.376654785203485,-0.6227333333333332,AMZN,positive,47.56749578915734,45.544566106342046,50.137521371564496
2023Q3,2023-09-30,47.56749578915734,0.08156666666666666,AMZN,positive,45.544566106342046,49.318624269954576,49.031640829069026
2023Q4,2023-12-31,45.544566106342046,0.35359999999999997,AMZN,positive,49.318624269954576,50.137521371564496,47.339077276987304
2024Q1,2024-03-31,49.318624269954576,-0.6566333333333333,AMZN,positive,50.137521371564496,49.031640829069026,50.55085535148747
2024Q2,2024-06-30,50.137521371564496,-0.5102666666666668,AMZN,positive,49.031640829069026,47.339077276987304,51.813931855314785
2024Q3,2024-09-30,49.031640829069026,-0.37346666666666667,AMZN,positive,47.339077276987304,50.55085535148747,50.78509621522015
2024Q4,2024-12-31,47.339077276987304,-0.5625,AMZN,positive,50.55085535148747,51.813931855314785,48.46944035691189
2025Q1,2025-03-31,50.55085535148747,-0.8883333333333333,AMZN,positive,51.813931855314785,50.78509621522015,51.81606333221316
2025Q2,2025-06-30,51.813931855314785,-0.4519,AMZN,positive,50.78509621522015,48.46944035691189,
2025Q3,2025-09-30,50.78509621522015,-0.7432333333333334,AMZN,positive,48.46944035691189,51.81606333221316,
2025Q4,2025-12-31,48.46944035691189,0.24970000000000003,AMZN,positive,51.81606333221316,,
