quarter,date,fcf_margin,ps_zscore_mean,ticker,regime,fcfm_lead1,fcfm_lead2,fcfm_lead4
2019Q2,2019-04-30,48.32753545624833,1.6173000000000002,CRM,positive,6.454841130848137,2.8362508309328605,6.11531741409435
2019Q3,2019-07-31,6.454841130848137,-0.29113333333333336,CRM,positive,2.8362508309328605,31.57245632065776,3.967521682967337
2019Q4,2019-10-31,2.8362508309328605,1.4968000000000001,CRM,positive,31.57245632065776,6.11531741409435,51.266141204091895
2020Q2,2020-04-30,31.57245632065776,0.9239333333333334,CRM,positive,6.11531741409435,3.967521682967337,2.728706624605678
2020Q3,2020-07-31,6.11531741409435,0.21453333333333333,CRM,positive,3.967521682967337,51.266141204091895,3.467871193355675
2020Q4,2020-10-31,3.967521682967337,-0.7840333333333334,CRM,positive,51.266141204091895,2.728706624605678,47.1866144919714
2021Q2,2021-04-30,51.266141204091895,-0.9535666666666667,CRM,positive,2.728706624605678,3.467871193355675,1.6968911917098446
2021Q3,2021-07-31,2.728706624605678,-0.8524333333333333,CRM,positive,3.467871193355675,47.1866144919714,1.467398239122113
2021Q4,2021-10-31,3.467871193355675,-0.44189999999999996,CRM,positive,47.1866144919714,1.6968911917098446,51.50963986904329
2022Q2,2022-04-30,47.1866144919714,-0.2904333333333333,CRM,positive,1.6968911917098446,1.467398239122113,7.299779146809253
2022Q3,2022-07-31,1.6968911917098446,0.3541666666666667,CRM,positive,1.467398239122113,51.50963986904329,15.665137614678898
2022Q4,2022-10-31,1.467398239122113,0.41253333333333336,CRM,positive,51.50963986904329,7.299779146809253,66.61556991131063
2023Q2,2023-04-30,51.50963986904329,-0.7355999999999999,CRM,positive,7.299779146809253,15.665137614678898,8.096514745308312
2023Q3,2023-07-31,7.299779146809253,-0.8892333333333333,CRM,positive,15.665137614678898,66.61556991131063,18.83735705209657
2023Q4,2023-10-31,15.665137614678898,-0.6470333333333333,CRM,positive,66.61556991131063,8.096514745308312,64.06552039881981
2024Q2,2024-04-30,66.61556991131063,-0.5344,CRM,positive,8.096514745308312,18.83735705209657,5.9105119187182495
2024Q3,2024-07-31,8.096514745308312,0.2650666666666667,CRM,positive,18.83735705209657,64.06552039881981,21.220391851057606
2024Q4,2024-10-31,18.83735705209657,1.6668666666666667,CRM,positive,64.06552039881981,5.9105119187182495,
2025Q2,2025-04-30,64.06552039881981,-0.5545,CRM,positive,5.9105119187182495,21.220391851057606,
2025Q3,2025-07-31,5.9105119187182495,-0.4565666666666666,CRM,positive,21.220391851057606,,
2025Q4,2025-10-31,21.220391851057606,-0.6495333333333334,CRM,positive,,,
2019Q1,2019-03-31,1.7442857142857142,-0.9207666666666666,DDOG,negative,17.35038167938931,25.45326633165829,25.943568464730287
