quarter,date,revenue,revenue_yoy,ps_zscore_mean,ps_zscore_max,ticker,revenue_yoy_lead1,revenue_yoy_lead2
2019Q1,2019-03-31,59700000000.0,16.962501469378168,-0.07716666666666668,0.4126,AMZN,19.888061112581788,23.693792420814486
2019Q2,2019-06-30,63404000000.0,19.888061112581788,0.6912333333333334,0.846,AMZN,23.693792420814486,20.797701117665746
2019Q3,2019-09-30,69981000000.0,23.693792420814486,2.2060999999999997,3.5823,AMZN,20.797701117665746,26.385259631490786
2019Q4,2019-12-31,87437000000.0,20.797701117665746,2.303933333333333,3.6507,AMZN,26.385259631490786,40.230900258658764
2020Q1,2020-03-31,75452000000.0,26.385259631490786,0.9050333333333334,1.0049,AMZN,40.230900258658764,37.38729083608408
2020Q2,2020-06-30,88912000000.0,40.230900258658764,1.2568666666666666,1.9268,AMZN,37.38729083608408,43.59481683955304
2020Q3,2020-09-30,96145000000.0,37.38729083608408,2.2053,2.8712,AMZN,43.59481683955304,43.823888034777084
2020Q4,2020-12-31,125555000000.0,43.59481683955304,-0.010733333333333336,0.3565,AMZN,43.823888034777084,27.181932697498645
2021Q1,2021-03-31,108518000000.0,43.823888034777084,-0.18730000000000002,-0.1269,AMZN,27.181932697498645,15.255083467679032
2021Q2,2021-06-30,113080000000.0,27.181932697498645,-0.33093333333333336,-0.1346,AMZN,15.255083467679032,9.44367010473497
2021Q3,2021-09-30,110812000000.0,15.255083467679032,-0.37976666666666664,-0.3127,AMZN,9.44367010473497,7.303857424574733
2021Q4,2021-12-31,137412000000.0,9.44367010473497,-0.7307666666666667,-0.6061,AMZN,7.303857424574733,7.210824195260002
2022Q1,2022-03-31,116444000000.0,7.303857424574733,-0.9531666666666667,-0.9041,AMZN,7.210824195260002,14.699671515720315
2022Q2,2022-06-30,121234000000.0,7.210824195260002,-0.5612333333333334,-0.4257,AMZN,14.699671515720315,8.581492154979188
2022Q3,2022-09-30,127101000000.0,14.699671515720315,-0.5866333333333333,-0.4532,AMZN,8.581492154979188,9.37274569750266
