label,beta,pval,r2,n
1M forward,0.012947098102225213,0.043265310753234545,0.022758676103741826,327
3M forward,0.02816712802267689,0.010482572638233696,0.03994592644984429,319
6M forward,0.05506492550565926,0.00018324514185404293,0.07998281023225096,307
Low VIX — 1M,0.0019490236225923132,0.6849641212900612,0.01576627295704136,207
Low VIX — 3M,0.005384889620945189,0.6754746724798897,0.01874318094447025,203
Low VIX — 6M,0.029916468214396762,0.07511627077662633,0.05000914410844093,191
High VIX — 1M,0.04083681180160968,0.018338705442529503,0.09204677821352969,120
High VIX — 3M,0.08146035597265695,0.0006905227473047003,0.1450039876983834,116
High VIX — 6M,0.11313501281832852,0.0002165940833507656,0.18745810289999143,116
