month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2019-09,-0.7662,False,519,0.0983,0.6346,0.3654,-0.009436735366091131,0.11412559567381164,0.06104393111585904,,16.239999771118164,Q1 (lowest)
2019-10,-0.6977,False,594,0.1044,0.6709,0.3291,0.21375410159450703,0.37570702216601437,0.3432568838023231,-0.009436735366091131,13.220000267028809,Q1 (lowest)
2019-11,-0.7344,False,592,0.1047,0.6862,0.3138,-0.07333827924687752,0.10743196023882229,0.7480989905040518,0.21375410159450703,12.619999885559082,Q1 (lowest)
2019-12,-0.9291,False,600,0.0883,0.7276,0.2724,0.22313394858539137,-0.047644237565378944,1.3014822593348008,-0.07333827924687752,13.779999732971191,Q1 (lowest)
2020-01,-0.9172,False,604,0.0911,0.7319,0.2681,-0.022938705466235887,-0.023587971741686253,1.0311621395787935,0.22313394858539137,18.84000015258789,Q1 (lowest)
2020-02,-0.8063,False,676,0.0917,0.7161,0.2839,-0.2031008122643485,0.578515929887979,0.8504983439229552,-0.022938705466235887,40.11000061035156,Q1 (lowest)
2020-03,-0.6975,False,721,0.0999,0.7166,0.2834,0.2540300029442508,1.4166202905637344,1.8393553352379959,-0.2031008122643485,53.540000915527344,Q2
2020-04,-0.3621,False,712,0.111,0.6323,0.3677,0.5795655658294425,1.0802305592260089,1.011303239102474,0.2540300029442508,34.150001525878906,Q2
2020-05,-0.3602,False,621,0.132,0.6452,0.3548,0.22000843333421471,0.1723026096127378,0.3879613137117901,0.5795655658294425,27.510000228881836,Q3
2020-06,-0.0753,False,625,0.1392,0.5813,0.4187,0.07947100522870199,0.1749282029638377,0.13214497868244424,0.22000843333421471,30.43000030517578,Q3
2020-07,-0.5212,False,610,0.118,0.6535,0.3465,-0.10984442245418746,-0.03313446185944913,0.09471552665500393,0.07947100522870199,24.459999084472656,Q2
2020-08,-0.6408,False,620,0.1161,0.6963,0.3037,0.22274087289767053,0.183961634419882,0.14195092970857814,-0.10984442245418746,26.40999984741211,Q2
2020-09,-0.7683,False,608,0.1234,0.7522,0.2478,-0.11168758078599494,-0.0364134797117559,-0.18422089516035323,0.22274087289767053,26.3700008392334,Q1 (lowest)
2020-10,-0.6801,False,550,0.1345,0.7182,0.2818,0.09002752803245517,0.1322314049586777,-0.054876070048854975,-0.11168758078599494,38.02000045776367,Q2
2020-11,-0.8295,False,497,0.1247,0.7257,0.2743,-0.004852362883380534,-0.035483163888066604,-0.0795591919011801,0.09002752803245517,20.56999969482422,Q1 (lowest)
2020-12,-0.8859,False,473,0.1226,0.7319,0.2681,0.043782989147721274,-0.15339298790147327,0.05729377539385472,-0.004852362883380534,22.75,Q1 (lowest)
2021-01,-0.891,False,561,0.1123,0.7552,0.2448,-0.07143548747338813,-0.16525550712344128,0.07737223307291674,0.043782989147721274,33.09000015258789,Q1 (lowest)
2021-02,-0.9508,False,622,0.1254,0.822,0.178,-0.12650672739689006,-0.04569752062679222,0.4442930275924828,-0.07143548747338813,27.950000762939453,Q1 (lowest)
2021-03,-0.8737,False,712,0.1264,0.8237,0.1763,0.02915767232966604,0.24886016804076339,0.6960644626192607,-0.12650672739689006,19.399999618530273,Q1 (lowest)
2021-04,-0.9595,False,738,0.1125,0.8355,0.1645,0.061560063137978904,0.2906610852384952,0.9476508055251514,0.02915767232966604,18.610000610351562,Q1 (lowest)
2021-05,-0.7978,False,725,0.1034,0.7624,0.2376,0.1431081641138432,0.5134541288639467,0.9581547205965826,0.061560063137978904,16.760000228881836,Q1 (lowest)
2021-06,-0.9689,False,652,0.0813,0.7469,0.2531,0.06360487125983383,0.358089965572431,0.711279760539054,0.1431081641138432,15.829999923706055,Q1 (lowest)
2021-07,-0.9113,False,604,0.0993,0.7517,0.2483,0.24480584327555355,0.5090334928361568,0.319873573968257,0.06360487125983383,18.239999771118164,Q1 (lowest)
2021-08,-1.1485,False,620,0.0839,0.831,0.169,0.02576199545093205,0.2938315626826722,0.16915817882702444,0.24480584327555355,16.479999542236328,Q1 (lowest)
2021-09,-0.465,False,733,0.1091,0.6701,0.3299,0.18181815237716492,0.26006362164509067,0.0715952931036754,0.02576199545093205,23.139999389648438,Q2
2021-10,0.3958,False,851,0.1058,0.4604,0.5396,0.06728518425044538,-0.12535170343527813,-0.27698295975561826,0.18181815237716492,16.260000228881836,Q3
2021-11,0.3892,False,913,0.1095,0.516,0.484,-0.0010095500732471008,-0.09635982569257007,-0.46497278040411616,0.06728518425044538,27.190000534057617,Q3
2021-12,-0.2698,False,898,0.1013,0.6547,0.3453,-0.17966425181259693,-0.1495704862071633,-0.46527428253664105,-0.0010095500732471008,17.219999313354492,Q3
2022-01,-0.7007,False,902,0.1075,0.7905,0.2095,0.10266237723181071,-0.1733625468841461,-0.30182737861816633,-0.17966425181259693,24.829999923706055,Q1 (lowest)
2022-02,-0.4895,False,900,0.11,0.7398,0.2602,-0.05983489139797726,-0.40792006065252606,-0.34858173576656926,0.10266237723181071,30.149999618530273,Q2
