label,beta,pval,r2,n
1M forward,-0.016120958207640014,0.39142269058956636,0.008654660270120296,87
3M forward,0.01594524677146895,0.6492246101195248,0.0025044348614506884,85
6M forward,-0.021329227473141872,0.6729858765616842,0.0022380645010030564,82
Low VIX — 1M,-0.009895248536752341,0.6414635183959971,0.004121439088908496,55
Low VIX — 3M,0.012374596940082274,0.7429365598890976,0.00208630898025719,54
Low VIX — 6M,-0.00263711408026507,0.9598173184025828,5.233460216480523e-05,51
High VIX — 1M,-0.03672692122683273,0.37183816976845674,0.026667381363251308,32
High VIX — 3M,0.03097336208113978,0.7242520366539781,0.004356624746211568,31
High VIX — 6M,-0.1006910513143025,0.436523759324033,0.021014356644862953,31
