label,beta,pval,r2,n
1M forward,0.008725051992970696,0.359922444330945,0.009869846649641412,87
3M forward,0.025569056265713316,0.10244107257802346,0.03181068599301495,85
6M forward,0.06337900247416167,0.00724931814259619,0.08669681277747554,82
Low VIX — 1M forward,-0.00040662226232362217,0.9650031201698671,3.666656391643208e-05,55
Low VIX — 3M forward,0.009057668916499177,0.5208246319701804,0.007972668255757487,54
Low VIX — 6M forward,0.061187673531873765,0.01039576384113657,0.1265934773962878,51
High VIX — 1M forward,0.024376269643324736,0.24161686901499804,0.045406280905162966,32
High VIX — 3M forward,0.05391480062830306,0.13288941167812432,0.07616475074768547,31
High VIX — 6M forward,0.06724859520081941,0.1804031693607711,0.06100245559783335,31
