month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,monthly_return,vix_close,ps_quartile
2024-06,1.6403,True,1592,0.1099,0.5393,0.4607,-0.1021667032968584,-0.11280749947878455,0.10178114503626379,0.17707389800500817,12.4399995803833,Q4 (highest)
2025-10,1.9457,True,1845,0.1344,0.6432,0.3568,-0.017197979815398723,-0.2056998386866401,-0.3528038552505943,0.1433286835457741,17.440000534057617,Q4 (highest)
2025-11,3.0284,True,1915,0.1483,0.5902,0.4098,-0.1501155542671161,-0.30029371334245303,,-0.017197979815398723,16.350000381469727,Q4 (highest)
2025-12,2.1849,True,1901,0.1431,0.652,0.348,-0.04904770865150532,-0.13192147743760518,,-0.1501155542671161,14.949999809265137,Q4 (highest)
2026-01,2.2287,True,2051,0.1355,0.6555,0.3445,-0.13424069947833162,-0.18519953001233258,,-0.04904770865150532,17.440000534057617,Q4 (highest)
2026-02,1.9618,True,2102,0.1265,0.6658,0.3342,0.05439446246056434,,,-0.13424069947833162,19.860000610351562,Q4 (highest)
2026-03,2.9415,True,2292,0.1401,0.6444,0.3556,-0.10741211331961054,,,0.05439446246056434,25.25,Q4 (highest)
