label,beta_raw,pval_raw,r2_raw,beta_full,pval_full,r2_full,n_full,signal_retained,pos_bar,neg_bar,commercial_bar
1M forward,0.0653,0.0407,0.0554,0.0395,0.2516,0.1295,73,60.5,False,False,fail
3M forward,-0.0024,0.9781,0.0,-0.0847,0.2878,0.2972,71,3593.7,False,False,fail
6M forward,-0.0339,0.7813,0.0011,-0.0208,0.8186,0.3016,68,61.4,False,False,fail
Low VIX - 1M,0.0735,0.2222,0.0353,0.0717,0.3151,0.0787,42,97.5,False,False,fail
Low VIX - 3M,0.0736,0.5204,0.0101,0.0096,0.9437,0.0583,41,13.0,False,False,fail
Low VIX - 6M,-0.1539,0.5126,0.0114,0.2397,0.243,0.082,38,-155.7,False,False,fail
High VIX - 1M,0.0604,0.1454,0.0693,0.0164,0.6968,0.3043,31,27.1,False,False,fail
High VIX - 3M,-0.0498,0.713,0.0047,-0.1396,0.1877,0.5409,30,280.6,False,False,fail
High VIX - 6M,-0.0064,0.9673,0.0001,-0.0904,0.3468,0.6007,30,1419.4,False,False,fail
