month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2019-12,-1.0853,False,1,0.0,1.0,0.0,0.12157451774585026,-0.054309923725060494,3.241654137910717,-0.01665850833560889,13.779999732971191,Q1 (lowest),0.0045110392531104715,-0.19524846790860484,-0.03157195736314089,0.03261846841955407,-0.10252193534832921,0.16958594406238947,
2020-01,-1.0853,False,1,0.0,1.0,0.0,-0.12039098019839989,-0.03820526884082942,3.28653917737266,0.12157451774585026,18.84000015258789,Q1 (lowest),-0.07916597643196199,-0.09182218225434602,0.025348324608351458,-0.06057440645627443,0.0013990945853130654,0.21796524755438518,
2020-02,-0.9367,False,4,0.25,0.0,1.0,-0.04141412759700458,1.178787931915743,3.6888888846075227,-0.12039098019839989,40.11000061035156,Q1 (lowest),-0.12998700247202144,0.03324643892418666,0.19121831056483396,-0.07482994662708309,0.1363326665116682,0.4383978800394954,
2020-03,-0.7882,False,11,0.1818,0.0,1.0,0.14067440151156885,3.4852475925501256,3.9357219475537395,-0.04141412759700458,53.540000915527344,Q1 (lowest),0.13361032213195267,0.2033876345908905,0.3126737469007834,0.1521877136114238,0.30319167690892734,0.4648969592543746,-0.005158323596052838
2020-04,-0.5778,False,54,0.1111,0.4307,0.5693,0.9926097066867767,3.4568129128826204,1.9334872720817455,0.14067440151156885,34.150001525878906,Q1 (lowest),0.04764557898326727,0.12901714242872253,0.1336061867810654,0.06600854292055058,0.21626357976562138,0.23269148477252521,-0.014222274596290774
2020-05,3.0094,True,126,0.381,0.4258,0.5742,0.9733425697230109,1.1520629960919249,0.9649976319519189,0.9926097066867767,27.510000228881836,Q4 (highest),0.013275094612103633,0.15288886144638192,0.1997534756195809,0.06102196021713424,0.2658246325480651,0.286171785603371,0.01675706062528115
2020-06,4.4004,True,186,0.3441,0.4231,0.5769,0.13344298105090635,0.10043466847891303,0.02631276360195267,0.9733425697230109,30.43000030517578,Q4 (highest),0.06355213376962299,0.09081538580629211,0.22268972657831698,0.07533218478108061,0.12408403553420477,0.26932767578078765,0.17939916830219707
2020-07,4.1663,True,167,0.3653,0.4205,0.5795,-0.037827770822756124,-0.3417970802403738,0.1332780691788189,0.13344298105090635,24.459999084472656,Q4 (highest),0.06979679347925116,0.0040646365585477184,0.1427636653702642,0.1094469114955614,0.013506862558582577,0.18563557129953123,0.34439934797863375
2020-08,-0.1635,False,82,0.122,0.3796,0.6204,0.009047867303096035,-0.08692373990896662,-0.20745363277201456,-0.037827770822756124,26.40999984741211,Q3,-0.04128134096938374,0.04064972413247547,0.09790836890889532,-0.057785876365459954,0.016074227449933254,0.06724594817445873,0.3463774251961431
2020-09,-1.0853,False,27,0.0,1.0,0.0,-0.3220538202963231,-0.06735693358281436,-0.2818104338159392,0.009047867303096035,26.3700008392334,Q1 (lowest),-0.021030413991521835,0.1208951968297991,0.19326500096231203,-0.030449224120685625,0.1292106601065266,0.15069229565771436,0.3601379600920837
2020-10,-0.8159,False,18,0.1667,0.3955,0.6045,0.334750415421204,0.7217761197302022,0.005668408437502714,-0.3220538202963231,38.02000045776367,Q1 (lowest),0.1087769626343904,0.13813754987638083,0.28759514911773865,0.11225730692021663,0.16983477379364986,0.25855754274687537,0.36854829257543376
2020-11,-0.8159,False,20,0.15,0.3955,0.6045,0.03067130124427453,-0.1320041908120918,-0.44331720543286357,0.334750415421204,20.56999969482422,Q1 (lowest),0.03264635073474853,0.055022015043681316,0.16890020801608907,0.047126483250435225,0.050362187468284025,0.11794222940378574,0.29142692227411854
2020-12,-0.4434,False,21,0.2857,0.2799,0.7201,0.25157370992985273,-0.22994166574031716,-0.31784369233692533,0.03067130124427453,22.75,Q2,-0.005971254784162605,0.064564291413858,0.15355891680906364,0.0044310177475979096,0.01902358550986505,0.13317042733265616,0.18178370706318966
2021-01,-0.4434,False,16,0.375,0.2799,0.7201,-0.32711474295568255,-0.41591221012224966,-0.5604023743429634,0.25157370992985273,33.09000015258789,Q2,0.027805563114584375,0.1313176946473571,0.192708200459778,-0.001335022606896663,0.07584213680493268,0.16179388920603643,0.024671828983400274
2021-02,-0.312,False,24,0.3333,0.3494,0.6506,-0.08562113203290078,-0.35865727844012796,-0.407447711482394,-0.32711474295568255,27.950000762939453,Q2,0.04198624765714354,0.10793916273651671,0.19497608469938732,0.015884421749915445,0.06433975131796354,0.21242465987942372,0.04436028379655801
2021-03,-0.6531,False,17,0.2941,0.4182,0.5818,-0.05068370852083637,-0.11414982824790176,-0.3989298549281036,-0.08562113203290078,19.399999618530273,Q1 (lowest),0.056359223694460336,0.08359722950786863,0.08988524548671784,0.06043591902345402,0.11201589781229448,0.12439400739854878,-0.003854211558929732
2021-04,-0.5464,False,19,0.3158,0.3955,0.6045,-0.2611554811980574,-0.24737747770922502,-0.2076091833925745,-0.05068370852083637,18.610000610351562,Q2,0.006566095837531538,0.054264603217009544,0.1076648508334741,-0.012012267110839692,0.07989253205527502,0.14496421255288183,-0.0196323781149292
2021-05,-0.6987,False,17,0.2353,0.3494,0.6506,0.26297944921719485,-0.07607544515917808,-0.13625769214446382,-0.2611554811980574,16.760000228881836,Q1 (lowest),0.019093330321327873,0.07855749204486706,0.09159748466420892,0.061390055127493515,0.13913311832813524,0.1820260149634727,0.025595973847651925
2021-06,-0.6987,False,18,0.2222,0.3494,0.6506,-0.19345636031019886,-0.3214765157373548,-0.40520131425284867,0.26297944921719485,15.829999923706055,Q1 (lowest),0.027763921405247194,0.005802908873904222,0.11676035525203243,0.02980257020561039,0.011131234374082144,0.12505481104806182,-0.07372167558889164
2021-07,-0.7882,False,50,0.04,0.0,1.0,-0.09298941645685965,0.05283962828484956,-0.403786144594089,-0.19345636031019886,18.239999771118164,Q1 (lowest),0.029759891958028195,0.05065165562185969,0.032900173695116,0.04218661915736521,0.06025755208600336,-0.0017920240583904068,-0.03500365092673826
2021-08,-0.4434,False,59,0.1017,0.2799,0.7201,-0.07247706325695713,-0.0651376204582571,-0.5733944717335298,-0.09298941645685965,16.479999542236328,Q2,-0.04965007094072771,0.012090215603267396,-0.02655733505198954,-0.057876011744315226,0.03765398086071792,-0.08506898731116275,-0.10917532930008018
2021-09,-0.3103,False,71,0.0986,0.2548,0.7452,0.2514837371167886,-0.12339263187990912,-0.5702275036852298,-0.07247706325695713,23.139999389648438,Q3,0.07359190959370454,0.11031728522475248,0.05951129012416079,0.0798360441253343,0.1126694268766224,0.015212715557126,-0.07015444155027638
2021-10,-0.4434,False,47,0.1277,0.2799,0.7201,-0.1946256109470127,-0.433708763055219,-0.6858328506860727,0.2514837371167886,16.260000228881836,Q2,-0.008034770140313507,-0.016895687387687763,-0.09693659676167588,0.019968301136601863,-0.0585231164091351,-0.1866621636424568,-0.06796376342095244
2021-11,-0.7882,False,40,0.05,0.0,1.0,-0.13027472466279566,-0.5436702368154052,-0.6798331519105916,-0.1946256109470127,27.190000534057617,Q1 (lowest),0.0425848772954196,-0.03818587519119587,-0.08756672259306952,0.010233254431929906,-0.11826964521456751,-0.21523702688038826,-0.017602522481348266
2021-12,-0.7882,False,44,0.0455,0.0,1.0,-0.1915373982904346,-0.5097320511503007,-0.6724964906400028,-0.13027472466279566,17.219999313354492,Q1 (lowest),-0.049413307031771714,-0.04575808714921281,-0.20045590284826498,-0.08630483676897416,-0.08758819912313698,-0.2937415560742913,-0.006514210772840812
2022-01,-0.9367,False,44,0.0227,0.0,1.0,-0.3510118464585673,-0.44521982891894596,-0.6032798344000776,-0.1915373982904346,24.829999923706055,Q1 (lowest),-0.029516850696083785,-0.08141649705645448,-0.07747089350702918,-0.04475932685576878,-0.1361042947168173,-0.12833708654600573,-0.07205657308617257
2022-02,-0.491,False,87,0.046,0.0,1.0,-0.06559146213343914,-0.2983871009090977,-0.49731181775755895,-0.3510118464585673,30.149999618530273,Q2,0.03437676985400184,-0.05134136225301322,-0.08819826158290256,0.04538619769559493,-0.10997396328656239,-0.13432585784939366,-0.07173674608287851
2022-03,-0.491,False,83,0.0482,0.0,1.0,-0.0851553287515261,-0.3319907815136426,-0.4729574056545537,-0.06559146213343914,20.559999465942383,Q2,-0.084935127540541,-0.1621159305787504,-0.2032652011642554,-0.13488917318395477,-0.2259433259774074,-0.2604822376904784,-0.11474048441649647
2022-04,-0.3425,False,84,0.0595,0.0,1.0,-0.17924525133157532,-0.28490565041849514,-0.46603773743342125,-0.0851553287515261,33.400001525878906,Q2,0.002257518695761629,0.00429531287768814,-0.054680327838054765,-0.015866075931762258,0.008990909577754502,-0.10938630258085502,-0.11359288422924346
2022-05,-0.3425,False,42,0.119,0.0,1.0,-0.11034486689739498,-0.2835248854549468,-0.25977013745406374,-0.17924525133157532,26.190000534057617,Q2,-0.0864070775780682,-0.03885159304238517,-0.00437623516783292,-0.09082641419633919,-0.027360878848841863,-0.04485503314931938,-0.1696993952072959
2022-06,0.3745,False,76,0.2105,0.3859,0.6141,-0.02067181552241759,-0.21102496827862272,-0.294573658693177,-0.11034486689739498,28.709999084472656,Q4 (highest),0.09680491123889068,-0.049110935614192996,0.022292307005775003,0.12768094291918408,-0.044620649717520444,-0.04641321187430336,-0.16713600193805633
2022-07,0.3463,False,129,0.1938,0.6146,0.3854,-0.17766046828680582,-0.2532981656489527,-0.0897097198202127,-0.02067181552241759,21.329999923706055,Q3,-0.04080183875851218,-0.058723405316664645,-0.004771877326828933,-0.05132232023641703,-0.11732237727309991,-0.062144040597443384,-0.16381435897715624
2022-08,0.9754,False,185,0.1784,0.5797,0.4203,-0.020320911904364136,0.03315502174275364,0.4855614734359386,-0.17766046828680582,25.8700008392334,Q4 (highest),-0.09615881070737153,0.03586892266063191,0.011475503749042604,-0.10695997023946213,-0.017986274580208628,-0.014963876518818697,-0.13533676184915341
2022-09,0.3686,False,185,0.1405,0.6236,0.3764,-0.07314411435096635,-0.10589522742217661,0.9388646861057979,-0.020320911904364136,31.6200008392334,Q3,0.08571738865220935,0.07509103353301083,0.1561660109291485,0.04186754046550001,-0.0018762831290554116,0.20585384440513366,-0.10644486548719316
2022-10,0.1249,False,165,0.1636,0.6983,0.3017,0.13780919998067942,0.21908134988166128,0.7408716291431197,-0.07314411435096635,25.8799991607666,Q3,0.055591492995263,0.05731740095798954,0.08602727502624519,0.055441396202111415,0.0625124453763668,0.16507547212779783,-0.09889977378234732
2022-11,0.3955,False,271,0.1365,0.7306,0.2694,-0.1521739430899285,0.437888257011086,0.6853003047414004,0.13780919998067942,20.579999923706055,Q4 (highest),-0.061935794105615116,-0.023548750597647716,0.03358225024602102,-0.09230959736526445,0.003077755415381578,0.19090246706182024,-0.09689790471558736
2022-12,0.587,False,331,0.1299,0.7382,0.2618,0.2637363750616133,1.168498307548222,0.9255190800663775,-0.1521739430899285,21.670000076293945,Q4 (highest),0.06776807892464043,0.07541219754173323,0.1688807413467952,0.10907817284276766,0.20812062074369897,0.3928107711613018,-0.044055496163544906
