label,beta,pval,r2,n
1M forward,0.013560249999397117,0.2228870027829509,0.017427968257194615,87
3M forward,0.010179028471087778,0.5957477046137246,0.0034057211996361136,85
6M forward,0.04171119176678033,0.1211239459336318,0.029769788457498003,82
Low VIX — 1M,0.0038667799399466174,0.7139612826347641,0.0025557015665496063,55
Low VIX — 3M,-0.025064156504106424,0.20811172448854925,0.030296613616790924,54
Low VIX — 6M,-0.03100246973323853,0.26044479905095713,0.025771286593955334,51
High VIX — 1M,0.037987990583925754,0.16378135669176463,0.06359946770491465,32
High VIX — 3M,0.09888767225114023,0.018433292553085324,0.1770083134666972,31
High VIX — 6M,0.22299235334569842,3.571958081500805e-05,0.4505866831243962,31
