month,ps_zscore,high_conviction,V,phi,H,entropy_gap,fwd_1m,fwd_3m,fwd_6m,ret,vix_close,ps_quartile,mkt_fwd_1m,mkt_fwd_3m,mkt_fwd_6m,sec_fwd_1m,sec_fwd_3m,sec_fwd_6m,momentum
2024-01,1.618,True,1316,0.614,0.6685,0.3315,0.025772565726945862,0.03713458074149223,0.11630435534755779,-0.05637788038397973,14.350000381469727,Q4 (highest),0.05218689505903873,0.042784347009558354,0.14791233068146914,0.08654672461013391,0.19408744912826092,0.13538987146733805,-0.006229365669976968
2024-02,1.7691,True,1357,0.5866,0.6445,0.3555,-0.02255837714773745,0.05821952938500785,0.15022645859616435,0.025772565726945862,13.399999618530273,Q4 (highest),0.02950329534252827,0.04119147301576476,0.11646901030113921,0.03509463175652261,0.1514195588803311,0.013012650580533469,-0.05323817246025377
2024-03,1.6875,True,1387,0.5854,0.6615,0.3385,0.034411181615586095,-0.004975164709556723,0.49842934219920143,-0.02255837714773745,13.010000228881836,Q4 (highest),-0.03733789999176307,0.04366681282179763,0.10386642068482366,0.06171430867774941,0.02933335310742713,0.2960000038272439,-0.0338357261192736
2024-05,1.5441,True,1297,0.6268,0.6796,0.3204,-0.08092918078178224,0.08694503045566271,0.1395055231213005,0.04662652457654559,12.920000076293945,Q4 (highest),0.03195084754925337,0.07229941776927573,0.14975843921573828,-0.07465752177640972,-0.12020545181149078,0.05479443708620657,-0.012738847053866261
2024-06,1.6903,True,1258,0.6518,0.6645,0.3355,0.11893997595048122,0.505921549949873,0.2032330770943196,-0.08092918078178224,12.4399995803833,Q4 (highest),0.015374419247450755,0.05768086818844265,0.08370579692196833,-0.019245053526648626,0.2590673370437129,0.08216126184404082,0.010499493169357462
2024-07,1.9532,True,1359,0.6718,0.6699,0.3301,0.056943601401481025,0.24261267238458872,0.25351932241353126,0.11893997595048122,16.360000610351562,Q4 (highest),0.023365661279203698,0.03553709386554238,0.09964900085229567,-0.030565971092888722,0.2150944001258659,0.22090281844255943,-0.008842527732403646
2024-08,1.8381,True,1390,0.6122,0.6594,0.3406,0.273338130089785,0.04835616447282853,0.589992758318973,0.056943601401481025,15.0,Q4 (highest),0.017882365948037604,0.07223637368711988,0.060900608070757256,0.32425063591184267,0.19890994921259852,0.36609196905322716,0.020377114990006513
2024-12,1.692,True,1486,0.6205,0.7014,0.2986,0.16570339294696068,0.559499846141557,0.3375398039524098,-0.029529574506665268,17.350000381469727,Q4 (highest),0.030312349336667932,-0.042327465175436285,0.060937527164453,0.10649541853898326,0.23490259563631666,0.21438580477209523,0.030549922790071793
2025-05,1.6931,True,1598,0.5851,0.7055,0.2945,-0.0037771503767642933,0.2059184510896066,0.40511834101160127,-0.04680569628731046,18.56999969482422,Q4 (highest),0.0482872271127599,0.09767216734762241,0.16613888103020802,0.04856440115368321,0.1661575136662261,0.14752589467464516,0.04493732121649515
2025-06,1.7233,True,1479,0.5652,0.667,0.333,0.0816406262826821,0.6025999246945917,0.3143238712671559,-0.0037771503767642933,16.729999542236328,Q4 (highest),0.02605592955723468,0.08141045400612001,0.11003010054330864,0.03233318589454015,0.22371094011564363,-0.00815621030116176,0.055184276778578324
2025-08,1.5299,True,1543,0.5217,0.6782,0.3218,0.3239258942780672,0.1651852077907987,0.06748148600260406,0.11912462135262847,15.359999656677246,Q4 (highest),0.03275713817185344,0.062374464543476726,0.06956748100048382,0.10031424920769894,-0.015976931737982758,-0.13692317949898636,0.04546588635618206
2025-09,1.5433,True,1618,0.5043,0.6809,0.3191,-0.04643878056378725,-0.17988023647409868,-0.29804732230997566,0.3239258942780672,16.280000686645508,Q4 (highest),0.02667595931623068,0.026465109923032637,-0.01817813743111707,-0.04903591139729502,-0.18947869371413273,-0.282026960763063,0.008544724982695207
2025-12,1.7827,True,1748,0.5183,0.6862,0.3138,0.15677442652801554,-0.14408515815769019,,-0.06815003822457544,14.949999809265137,Q4 (highest),0.017736279088188978,-0.04349222094601646,,0.10236312657263458,-0.11418363259693132,,0.06623914023139003
2026-01,2.5232,True,2008,0.5518,0.6766,0.3234,-0.15009434604083194,-0.1989855550848052,,0.15677442652801554,17.440000534057617,Q4 (highest),-0.008641951723092456,0.034567718446558926,,-0.12210292458317862,-0.18513287017145108,,0.05551032559008817
2026-02,2.5551,True,1920,0.5635,0.6659,0.3341,-0.12941504022545436,,,-0.15009434604083194,19.860000610351562,Q4 (highest),-0.05196861816263498,,,-0.08467479735955641,,,0.06803262563097708
2026-03,2.389,True,1705,0.5754,0.6484,0.3516,0.08257618615771434,,,-0.12941504022545436,25.25,Q4 (highest),0.10079303409108342,,,0.014069631172584085,,,0.023162797732067014
